Country,Year,Value
Afghanistan,2008,1663,
Albania,2008,518,
Algeria,2008,591,
Andorra,2008,310,
Angola,2008,1685,
Antigua and Barbuda,2008,682,
Argentina,2008,553,
Armenia,2008,864,
Australia,2008,278,
Austria,2008,335,
Azerbaijan,2008,918,
Bahamas,2008,629,
Bahrain,2008,408,
Bangladesh,2008,1210,
Barbados,2008,487,
Belarus,2008,1017,
Belgium,2008,369,
Belize,2008,747,
Benin,2008,1528,
Bhutan,2008,1027,
Bolivia (Plurinational State of),2008,791,
Bosnia and Herzegovina,2008,498,
Botswana,2008,1633,
Brazil,2008,667,
Brunei Darussalam,2008,480,
Bulgaria,2008,687,
Burkina Faso,2008,1497,
Burundi,2008,1893,
Cabo Verde,2008,772,
Cambodia,2008,1189,
Cameroon,2008,1846,
Canada,2008,320,
Central African Republic,2008,2275,
Chad,2008,1841,
Chile,2008,414,
China,2008,568,
Colombia,2008,493,
Comoros,2008,1194,
Congo,2008,1468,
Cook Islands,2008,559,
Costa Rica,2008,400,
Côte d’Ivoire,2008,2567,
Croatia,2008,531,
Cuba,2008,476,
Cyprus,2008,243,
Czech Republic,2008,501,
Democratic People's Republic of Korea,2008,779,
Democratic Republic of the Congo,2008,1765,
Denmark,2008,411,
Djibouti,2008,1289,
TABLE_END
Country,Year,Value
Afghanistan,2008,131,
Albania,2008,168,
Algeria,2008,127,
Andorra,2008,126,
Angola,2008,130,
Antigua and Barbuda,2008,164,
Argentina,2008,165,
Armenia,2008,239,
Australia,2008,125,
Austria,2008,140,
Azerbaijan,2008,188,
Bahamas,2008,126,
Bahrain,2008,73,
Bangladesh,2008,183,
Barbados,2008,140,
Belarus,2008,198,
Belgium,2008,151,
Belize,2008,125,
Benin,2008,161,
Bhutan,2008,171,
Bolivia (Plurinational State of),2008,105,
Bosnia and Herzegovina,2008,137,
Botswana,2008,66,
Brazil,2008,139,
Brunei Darussalam,2008,107,
Bulgaria,2008,196,
Burkina Faso,2008,143,
Burundi,2008,161,
Cabo Verde,2008,144,
Cambodia,2008,156,
Cameroon,2008,122,
Canada,2008,138,
Central African Republic,2008,121,
Chad,2008,130,
Chile,2008,125,
China,2008,179,
Colombia,2008,112,
Comoros,2008,140,
Congo,2008,113,
Cook Islands,2008,63,
Costa Rica,2008,107,
Côte d’Ivoire,2008,104,
Croatia,2008,203,
Cuba,2008,159,
Cyprus,2008,75,
Czech Republic,2008,191,
Democratic People's Republic of Korea,2008,120,
Democratic Republic of the Congo,2008,138,
Denmark,2008,170,
Djibouti,2008,126,
TABLE_END
